"UNITID","XGRCOHRT","GRCOHRT","XUGENTER","UGENTERN","XPGRCOHR","PGRCOHRT","XRRFTCT","RRFTCT","XRRFTEX","RRFTEX","XRRFTIN","RRFTIN","XRRFTCTA","RRFTCTA","XRET_NMF","RET_NMF","XRET_PCF","RET_PCF","XRRPTCT","RRPTCT","XRRPTEX","RRPTEX","XRRPTIN","RRPTIN","XRRPTCTA","RRPTCTA","XRET_NMP","RET_NMP","XRET_PCP","RET_PCP","XSTUFACR","STUFACR"
169798,"R",1621,"R",2626,"R",62,"R",1853,"R",0,"R",0,"R",1853,"R",1274,"R",69,"R",45,"R",0,"R",0,"R",45,"R",17,"R",38,"R",14
169910,"R",1665,"R",2542,"R",65,"R",572,"R",0,"R",0,"R",572,"R",444,"R",78,"R",14,"R",0,"R",0,"R",14,"R",9,"R",64,"R",15
169983,"R",263,"R",299,"R",88,"R",228,"R",0,"R",0,"R",228,"R",215,"R",94,"R",0,"R",0,"R",0,"R",0,"R",0,"A",NA,"R",11
170000,"R",69,"R",123,"R",56,"R",69,"R",0,"R",0,"R",69,"R",45,"R",65,"R",2,"R",0,"R",0,"R",2,"R",1,"R",50,"R",15
170037,"R",255,"R",406,"R",63,"R",267,"Z",0,"Z",0,"R",267,"R",209,"R",78,"R",0,"R",0,"R",0,"R",0,"R",0,"A",NA,"R",15
170082,"R",4146,"R",5510,"R",75,"R",4805,"R",0,"R",0,"R",4805,"R",3667,"R",76,"R",31,"R",0,"R",0,"R",31,"R",15,"R",48,"R",15
170091,"R",64,"R",97,"R",66,"R",47,"R",0,"R",0,"R",47,"R",23,"R",49,"R",3,"R",0,"R",0,"R",3,"R",1,"R",33,"R",14
170240,"R",1498,"R",3824,"R",39,"R",0,"R",0,"R",0,"R",0,"R",0,"A",NA,"R",0,"R",0,"R",0,"R",0,"R",0,"A",NA,"R",25
170286,"R",359,"R",437,"R",82,"R",350,"R",1,"R",0,"R",349,"R",337,"R",97,"R",3,"R",0,"R",0,"R",3,"R",3,"R",100,"R",8
170301,"R",821,"R",872,"R",94,"R",834,"R",0,"R",0,"R",834,"R",737,"R",88,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",9
170444,"R",405,"R",1691,"R",24,"R",0,"Z",0,"Z",0,"R",0,"R",0,"A",NA,"R",1,"Z",0,"Z",0,"R",1,"R",1,"R",100,"R",18
170532,"R",314,"R",355,"R",88,"R",369,"R",0,"R",0,"R",369,"R",312,"R",85,"R",1,"R",0,"R",0,"R",1,"R",0,"R",0,"R",10
170639,"R",244,"R",522,"R",47,"R",217,"R",0,"R",0,"R",217,"R",171,"R",79,"R",4,"R",0,"R",0,"R",4,"R",3,"R",75,"R",13
170675,"R",390,"R",1229,"R",32,"R",305,"R",0,"R",0,"R",305,"R",239,"R",78,"R",2,"R",0,"R",0,"R",2,"R",2,"R",100,"R",11
