UNITID,TotalLiabilities,EndowmentAssets
160630,66674432,3447953
230603,79533080,41795372
233611,15501631,1867799
217776,5104013,9931892
179326,21080718,31339322
175078,23677000,20934000
228468,1978400,26462438
207856,12794206,1797572
155900,21157555,26849786
207865,20543481,38705626
228343,124767291,403727514
157757,10790124,28053113
172334,27123472,31160986
102234,65365851,4725172
167899,130465594,103272771
475273,NA,NA
195164,54444789,95209711
175005,119568472,156154341
195216,174610943,416833841
174844,187965192,803770786
199698,23169670,6799893
195173,302747488,26414886
195720,65953825,151031721
137272,687758,11010237
163976,33146502,210047576
245652,33099043,112735358
148593,433009,3657299
195809,580407000,819408000
195544,52972000,63464000
163912,63333425,45029041
228149,48426963,263027963
195243,14531243,37515082
137476,108748683,42969520
243744,10864742000,37631059000
196149,287641861,60145944
196176,421971173,42641066
196194,390437471,67749280
196246,327135058,30379272
228431,114242138,135381137
179548,15833720,58198157
155937,12548261,13527024
231095,2223965,1155851
137546,242308013,390513055
186867,420498000,374598000
164173,167402080,104378735
102270,6906616,19795214
186876,617137598,50245870
167996,100980467,306928702
196097,3153190109,786159357
450377,NA,NA
458885,NA,NA
450298,NA,NA
131803,104337000,NA
449038,NA,NA
458919,NA,NA
459994,NA,NA
430184,NA,NA
458955,NA,NA
453215,NA,NA
453163,NA,NA
443784,NA,NA
458964,NA,NA
443766,NA,NA
458973,NA,NA
233684,NA,NA
456621,NA,NA
168005,539344256,252033632
228501,19758130,26466497
447953,11187335,82000
196158,238990569,51473172
196219,362583076,82417368
196121,328728823,27716988
196130,442239658,96391605
196167,246755983,41663666
196200,240735087,53841887
196033,142296878,10521780
196103,164031996,47820260
196015,144604370,18129189
196024,135379955,9149157
196255,1252861248,33381952
196291,199154223,11628303
196237,183109145,459806
196185,297993618,78601117
196112,152019458,5563636
216278,54514261,225341330
216287,542297000,2728473000
233718,10380474,70096817
196413,1348964958,2074832074
155973,9361829,21124457
102298,36842833,2622523
137777,13069632,NA
186900,47991,NA
196440,1678192,NA
451404,12540050,NA
196431,174258,NA
216311,1167891,NA
228529,95295719,112156504
152530,46511000,140140110
149329,4134398,NA
216339,2188633000,960929000
221838,168428082,115311043
221847,137883819,105785212
221731,26523704,18064301
226152,37992870,105839730
228723,1409893770,19114830674
224554,75568837,38742427
224147,75540701,139062959
228705,46908769,164847431
483036,10540792,3865590
459949,67716387,4463975
224545,14849986,13904263
228875,1223040000,2615547000
228884,7101260,9563620
228981,36223521,99583769
229063,331177805,102120225
228459,399386028,411758097
229115,540739592,2119922328
229337,123066265,284811092
492689,76085467,174488583
229160,19154490,78382624
229179,517939581,133171935
131283,267659000,382564811
143978,133842597,42215842
492607,NA,NA
455664,NA,NA
491190,NA,NA
201821,NA,10626713
142294,32684745,125614956
187134,565448000,69014000
195234,NA,NA
174899,63546812,87878218
197285,3044934,NA
206589,74355170,437822692
190372,360884459,920191918
235167,48111351,25335007
192110,236089388,1397684575
439701,904432,6440531
117751,48122987,53400998
167057,43214974,164487681
193654,1095472000,486977000
157748,24760116,102810744
494603,20650940,153716305
100751,2900917780,1565891763
202763,59739476,56620691
180489,373430228,287380104
180692,20058920,13029120
171599,36711191,27239656
137847,260279708,77125061
487010,192282378,283887442
220701,1343532,1048784
221740,178846030,215568292
221759,1236471430,1187949666
221768,79438358,62017896
228769,356861523,223230170
228778,1428555206,6177255191
228787,339676207,858859362
228796,184281397,386783155
229027,307388884,315034041
228802,131911748,212481451
229300,788861195,1025924655
228644,332359784,834992775
416801,NA,9287693
228653,708499190,842261180
229018,40498771,68495955
227368,243722169,149460403
221519,104260649,499943537
216357,39550573,48858416
124292,19215421,30834386
161563,16912991,25337861
187046,43966072,12775967
216366,6391475502,2912558000
183275,1479063,3706220
157809,54841546,36451258
141167,9015350,7221182
206048,35739827,22776557
141185,2574356,4146021
196583,633602,NA
176406,7520709,28917674
196592,828984000,47900000
459824,NA,6268997
459727,NA,NA
164076,600825909,114604282
157818,61261658,273547275
221892,100924459,72102608
152567,41020307,79130707
414878,NA,NA
137953,3316421,113952
200484,1047209,1518067
149505,22367367,11047055
130590,220675152,850725222
137962,3440188,956171
146755,NA,3718694
149514,25012536,20883153
229267,282316103,1843412847
131876,29077436,42817815
102368,408086763,150334381
141237,27219875,6877816
178615,140494403,70189425
168148,1256522164,2533755000
160755,1446081000,2253994000
221953,51154601,18224881
102377,38204076,164249785
181738,13236290,34344047
157863,18500841,31483619
196866,223758730,567467656
221971,18131154,60157304
486354,124838,NA
128328,NA,151867935
130624,NA,994541
197027,NA,NA
197036,NA,NA
164155,NA,4246700
102395,349999,1000000
447050,7490104,NA
197018,9653649,NA
161572,26557054,16527514
196060,1234948718,166836576
196088,1268356979,1059489397
363934,14959032,NA
200800,552030720,351635016
200846,NA,NA
100663,3839702271,858989211
100706,476949517,113737648
102553,178441427,101005876
102614,414101862,159604689
104179,2823510000,1387344636
106397,1096678000,1665643378
106245,110032466,183220280
106412,55738660,8326293
106263,1062035000,384890000
161873,90332800,75816113
128744,29337000,18317000
110635,NA,3176106000
110644,NA,773217000
110653,NA,899356000
110662,NA,3529545000
445188,NA,32681000
110671,NA,277082000
110680,NA,1557815000
110705,NA,444044000
110714,NA,164952000
106704,248515393,76422969
132903,1112680633,201916665
176965,283640039,82222276
206941,148607875,45105363
237312,27222521,62316735
144050,6459390632,9124340657
201885,2480225620,2010746858
126614,2011136801,NA
126580,416314501,NA
126562,2023986392,NA
129020,7534864304,622770599
436827,NA,NA
463056,NA,NA
436836,NA,NA
436818,NA,NA
224323,35163000,100594000
202480,517543000,865508000
130943,1474041633,1929793265
127060,359596089,1088971768
169716,92296139,108570110
153278,75721599,281638321
150534,113080990,166020755
134130,3958172000,2448293000
457402,679573,NA
139959,2228417990,2055796714
129525,218412000,194773000
141565,37033469,366421
141574,494034159,56073331
141981,55516261,299037
179265,110202322,119879985
160065,14573357,22954780
225511,1635995804,1313224792
225414,218822168,41183066
225432,235482618,64433695
225502,176327005,23375624
142285,290284149,432852924
145600,1554520277,680971470
148654,77837146,33302364
145637,1787245783,2606081833
151263,109083847,132017860
153658,2947870000,3505385000
200156,32934482,45098815
155317,1121169414,2547083957
157085,2822004651,2038771493
117140,135346129,146959574
160658,731233471,177999227
159993,254198045,42977803
157289,648057000,1010310000
232609,66054658,140631750
161253,152237000,479309000
161217,25769000,9127000
161226,34861000,17522000
161235,5492000,5810000
161341,7091000,1459000
437097,253106,NA
200217,52394573,75162860
226471,47403434,123439591
232681,305864156,89033173
163338,108279688,66053653
163204,171857689,57865132
163259,714310151,521552835
163268,357658110,194549728
163286,1457358869,1171369937
262086,132138940,NA
166629,1571338055,579704081
166638,626400000,171325000
167987,261384000,118359656
166513,732064000,210448000
220862,282083674,377603467
135726,2976720710,1589857455
170976,11814295000,18894762000
171137,74333000,93185000
171146,18585000,178319000
174075,8757681,24639517
174233,45115355,293463445
174251,6766185,26431352
456959,75069645,1511123
174066,2831367917,5512426113
176017,3773869275,924527426
178396,2641675543,1468551585
178402,358760648,213276450
178420,224999306,127708077
101693,32965045,25213200
101709,150788189,45439205
199069,29798001,50885895
193399,45333259,55717767
204185,22907617,179260908
181215,77424760,88189670
181394,135276300,141759357
181428,137406263,495847983
181464,498642940,1479930187
182281,840725000,418236000
182290,906177897,560059383
161457,203352636,330754456
183071,64856627,2191486
183044,351557514,525445726
129941,181802023,103222350
187985,2929032522,821467717
159939,298023520,27749072
101879,302378916,63919879
199111,165643141,75642604
199120,4744781305,5728314165
199139,1194827958,344668261
199148,663915456,428946901
199281,182851391,35896353
199184,123762262,135574067
199218,563581092,162149363
200280,613344674,402798000
136172,455494895,147998667
482680,405605232,85078881
227216,390534628,327779886
484905,27783696,13437484
228909,64747643,139781893
127741,247361405,119815567
154095,139518336,224410285
174491,25839008,26022131
152080,4592629000,18245327000
207342,664270000,743829000
207500,1881925000,1554332000
209551,1563371274,1613595472
215062,9653197000,22347948000
484613,346319520,NA
484631,NA,NA
420042,NA,NA
484756,NA,NA
157535,98820113,34039524
215266,NA,568151
215275,NA,7683158
215284,NA,69866778
215293,3213891858,5757792571
209825,104346000,323629000
180258,5841525,20427127
236328,92315000,471468000
121691,147261662,253550203
217484,493621911,317751177
233374,389483000,3245089000
195030,4145572000,2989014000
152336,20027019,37078792
130314,52901000,54463000
155812,9430338,21807240
122436,373416000,714021000
122612,396775000,568825000
207722,24295583,19874164
215929,169806585,319717006
112394,16255950,NA
219383,18504307,37845414
102094,1269071000,710294000
218645,98184012,36148232
218654,52049198,10545792
218663,2344186787,776513396
218742,180730805,13988361
219471,110007086,317638024
137351,1506856668,708333328
123961,5668577000,8092846000
151306,136580050,160211786
161554,155141000,51167000
176372,536368709,160371946
148584,40130292,31326661
174914,571549000,740260000
227863,57145482,145922341
156541,34843706,313612764
131399,74234565,70532289
225627,203558937,187996471
107558,23286117,141527346
120883,278224386,643177245
442639,NA,NA
384412,12681536,NA
188182,1677885,16137893
449870,608413,17325706
206084,938159317,388044243
207971,145011596,1290043000
230764,3965132000,1650635000
216542,35074206,3088748
231174,1055076000,896299000
233897,55206159,165651423
234076,5014044721,10055403543
377555,NA,NA
236948,7119915536,5565903487
377564,NA,NA
101587,139097964,420514
138354,185351213,108127993
141334,352917206,49016912
484862,4345802,NA
210438,37732866,3353795
240268,197767189,76742889
240277,35718509,63937536
240329,143478747,46068454
240444,2202387586,6101887051
240453,414899818,260363469
240365,120434463,44493460
240374,49654464,17205147
240462,124725694,66038596
240471,59980739,33139029
240480,128389486,68399763
240417,126250784,86623213
240426,38669560,25025835
240189,143460544,44704712
240727,702064000,807426000
154493,85774282,21808149
196307,1422033089,113756897
498924,905865,NA
494685,2282727,NA
216524,79704879,167639430
206349,3473541,45871040
446604,8884065,NA
197045,86802539,35361616
141264,293854688,73754731
200572,17596936,13627134
152600,167447000,311933000
221999,3486695752,10247727490
149639,2195895,410794
123651,63770807,18260080
197133,352800413,1300989120
231165,NA,NA
197142,2450143,2579220
216597,562080503,1313033000
234030,1171290654,2885706877
234085,68166312,787531041
233921,1579596306,1939700000
234155,177079366,95582360
234164,33883234,31909591
234137,111049,2211297
234173,34254284,121820249
449764,9758375,11488
240107,9577427,65564998
218919,2608453,10526987
152673,44806763,428982792
226879,1256860,NA
197197,152021023,117965278
199847,1627675000,1997300000
154518,10240670,NA
236896,15272950,46573468
172608,3460063,11403759
206437,12216709,39556155
210304,12932692,18230221
480198,NA,NA
138275,12397106,3585301
199865,21720479,55051556
154527,83245186,100364486
156082,94327202,223942063
216667,57712710,170899484
162210,26602390,4354339
234207,315532000,2043225000
164216,85666030,362301915
236939,1032997653,1383078164
179867,4431511000,12006026000
483780,3705799,NA
199883,94678,NA
229780,48501422,122050796
181783,52871209,33294918
172644,885350000,602398000
216694,43556913,36084000
197221,3482898,71598223
138293,21806292,7426153
179894,143101900,66675742
220206,18543152,4567288
168218,601833000,2991224000
168227,219891097,160162385
176451,122177,5580473
141325,12595776,60668915
130697,534689000,1583306000
216764,483481832,69403013
477039,NA,NA
443331,414107737,NA
485272,NA,NA
458229,NA,NA
458210,NA,NA
237932,25539933,22544764
229814,55661417,137206458
237899,49061091,13396371
238032,1249436030,861602738
237950,NA,NA
237969,15383476,88139677
490133,25559849,NA
200004,479146171,138110912
128391,111180271,9479865
130776,31570904,28269491
149772,82438995,97371859
157951,447714088,19138764
172699,626982119,754940001
168254,113737121,60241105
188304,94848318,34372746
210429,114165312,26878214
237011,300019655,125985155
168263,186503452,12899710
179946,20540882,80711423
216807,37528244,140925746
230807,43281165,72161507
125727,75324487,92162206
149781,180813000,610123000
168281,96578297,272797345
238078,16411795,4601377
237057,154507589,785977679
125763,42043382,139279793
237066,112022961,202119120
475200,NA,NA
156125,400373323,335902000
216852,168150916,117539742
206491,15627904,7100500
229887,18640690,7554612
216931,101036890,67211296
210401,157855000,313019000
231624,581239668,1454415648
176479,50496309,42262357
166717,30153920,1023784
122728,110325413,7115387
179955,29656757,66717121
187444,345123042,46000752
199272,13494957,51607424
154590,45810884,8830882
179964,12824730,18717963
107877,4045837,14166817
168342,967033418,3530439948
443340,245729,NA
206507,21736398,32371804
131113,68179433,168243172
217013,36656780,70216910
499732,NA,NA
199962,91320613,134585785
175272,91162000,62386000
199999,194058333,54878108
218964,198207318,78222236
240338,49226570,49450647
206525,53731715,96621956
218973,125626073,465415514
491631,383491,NA
125897,28849517,6554362
168421,497993000,682734000
168430,162202093,25642341
401223,1695042,NA
206613,NA,NA
206604,246849333,153809620
206622,211778000,269006000
160904,90262115,182857477
130794,9278431000,41441645000
490319,423582,NA
434937,NA,NA
420325,1696135,NA
375230,12522,NA
481410,379474,NA
491710,2449128,NA
247773,213968,NA
491613,903384,NA
476692,89297,NA
197601,1103325,NA
491057,2965676,NA
190752,1072494,NA
498809,12525130,NA
455257,3236088,NA
197674,1340620,NA
126076,3157680,NA
486017,5295356,NA
490276,4809924,NA
486026,456155,NA
451398,1730114,NA
197708,664422000,501162000
494737,21584155,NA
481438,1509035,NA
487746,815576,NA
363712,3920078,NA
451370,1650462,NA
491765,2011557,NA
498906,2493847,NA
197692,0,120000
197735,4262241,149
217059,100840838,179302415
181853,13163133,22815238
141361,61783285,129538855
206695,215528438,349327395
