UNITID,TotalLiabilities,EndowmentAssets
165644,17540708,19534943
187648,136839222,62950677
208646,56395351,18485220
212133,31969774,34023310
235097,257535845,48340888
446233,2383571,NA
133492,58631911,94995100
238661,16104485,72199975
133526,9682940,5527915
198507,104215625,23024407
212197,77786800,107239621
144962,78593040,177519975
190983,13882159,25816885
198516,301132489,365486483
133553,427386000,222643000
104586,NA,88191000
426314,NA,7350000
165662,574177978,264747512
165671,279294499,173207388
139630,9658090,2364424
232025,84356738,110692480
139658,7284260000,12396185000
196264,92249289,27970972
155025,56760926,103733299
165699,141805655,146734428
124487,3784319,NA
217998,21668010,38708327
144971,14029316,36366416
177339,44055304,27988292
385619,26951145,NA
129242,344855473,411058000
184694,NA,NA
184603,153068000,100236000
237367,64717623,34450854
153320,2819344,5029098
443049,2886607,NA
443058,189076,NA
196042,280358214,7579659
101189,44774798,23452655
198543,175539821,34914792
184612,37671061,5588290
169910,145700341,127498531
232089,25229066,60295089
165802,8031676,NA
220181,58333240,41256925
165820,136986571,26753658
191205,5261419,NA
133711,91112115,94777008
133650,246779625,101700975
133669,465500952,398118994
133809,7880880,16231128
433660,346905656,103836772
133881,143194222,105961895
133951,1029241185,337735286
133979,13995788,7258273
408844,33670523,NA
482936,112160614,4300678
134079,49037455,130587373
134097,1407568689,1029931070
177418,1421010,4703993
191241,781182000,1024789000
155061,61566023,174703408
127185,87830161,34134776
139719,148698522,13249095
165866,169010236,65432992
218061,118864523,51785607
160074,23680848,13225002
205957,63049046,91330849
212577,196866932,467642341
150604,30030666,99752531
182795,45408033,22727852
202806,26872000,11801000
441982,162886000,425936000
220215,36587752,85248118
114813,43166557,22756722
155089,6150047,62972035
162584,134997224,49758987
134237,306029634,NA
218070,272002333,827738616
156471,166741528,NA
131450,129955666,235095432
212601,111626000,82842000
198561,32016943,79248690
456542,73059754,5959058
212656,5066434,62055074
208822,62136119,34311558
232186,1065811575,206791506
131469,2704755000,2639708000
156745,8178625,32889546
131496,3393515000,3638443000
139861,247858060,64623829
447689,255924248,NA
139755,2416584374,3166993332
139931,623065758,119360129
139764,78509740,38860923
139940,1134677381,259886368
184773,34652402,54148754
212674,103591271,425385470
449384,2169531,NA
115083,38772711,50310133
130989,19823645,189713413
235316,337213000,476148000
165936,30404411,115090366
150668,20852921,139330349
162654,125464000,292650000
145336,60742482,2797016
170000,5113043,NA
150677,31214236,33171544
481058,716783,NA
481401,890886,NA
153366,26277028,49294369
159009,120391310,17947509
104717,1536312000,NA
170082,428216355,209408812
153375,45188751,37528470
212771,1769342,5060976
170091,2511295,1116353
497213,236461,NA
198598,23077571,29029019
145372,40759052,28587347
153384,277555000,2670849000
212805,27582567,276777346
198613,81316226,80734148
173647,88243141,313227276
212832,44750000,68051000
225201,25304339,NA
191515,196650000,1361639000
173665,52894632,147220119
232256,110597053,248839242
166018,27992484,27241084
232265,185568677,241215124
177542,9530122,8843763
150756,32793045,163733338
225247,68504979,222008195
107044,76967301,217276124
177551,42587939,3394575
446640,186439485,1528280
191533,46493676,43787461
166027,12451836000,53235205000
115409,76546131,454549500
181127,29239245,105785120
111045,591786,NA
212911,157367811,702245110
141644,171014331,51399092
145497,NA,1142303
203085,45336295,73522806
166054,6521636,46931001
107071,76253670,29791451
107080,97430981,219105629
101453,1277274,15830314
235422,10788741,39805351
140340,12171626,NA
459842,4940153,NA
240392,130419742,NA
174154,3168176,NA
433536,4446243,NA
198695,185764676,177256373
191621,16917758,3808428
170286,303311368,1133148253
203128,42332728,55424015
191630,77421359,184210870
134510,695799,2824040
191649,391264494,925318519
232308,5454065,303839322
129534,723371,NA
150774,25483790,16088273
212984,36959030,29500686
162760,58389216,197780692
170301,50547000,309915000
120537,22032376,10209652
191676,30015937,80582293
225399,107566417,137983692
225548,8171163,91288222
131520,1363167000,1032497000
164368,98898061,NA
115773,11921080,133375
101435,24955486,56797744
150941,36140506,30269864
487524,36917998,33904930
225575,3892852,13611956
142276,156137344,100217964
145691,43789631,139556008
145725,303179000,263803000
145813,266341210,224309967
145646,108175807,255858735
213011,45956497,26416415
151290,59646849,165897129
151324,254354731,95008842
213020,432360878,98577436
151351,1402987092,2087993958
151388,5845542,9606892
151111,548887782,2452144361
151333,9139207,12025870
151360,37099768,16984637
151342,31324191,35741682
151379,22814316,30931962
151801,59554397,288632986
488679,NA,NA
187745,15788622,25467231
436614,36522,NA
191931,138942000,230907000
153603,762484936,1559640740
191968,163091892,403195724
175856,298647138,60978291
497453,16795,NA
101480,476283903,21109789
