UNITID,11_CTOTALT,13_CTOTALT,14_CTOTALT,23_CTOTALT,24_CTOTALT,26_CTOTALT,31_CTOTALT,42_CTOTALT,43_CTOTALT,44_CTOTALT,45_CTOTALT,50_CTOTALT,52_CTOTALT,99_CTOTALT,09_CTOTALT,51_CTOTALT,11_CTOTALM,13_CTOTALM,14_CTOTALM,23_CTOTALM,24_CTOTALM,26_CTOTALM,31_CTOTALM,42_CTOTALM,43_CTOTALM,44_CTOTALM,45_CTOTALM,50_CTOTALM,52_CTOTALM,99_CTOTALM,09_CTOTALM,51_CTOTALM,11_CASIAT,13_CASIAT,14_CASIAT,23_CASIAT,24_CASIAT,26_CASIAT,31_CASIAT,42_CASIAT,43_CASIAT,44_CASIAT,45_CASIAT,50_CASIAT,52_CASIAT,99_CASIAT,09_CASIAT,51_CASIAT,11_CWHITT,13_CWHITT,14_CWHITT,23_CWHITT,24_CWHITT,26_CWHITT,31_CWHITT,42_CWHITT,43_CWHITT,44_CWHITT,45_CWHITT,50_CWHITT,52_CWHITT,99_CWHITT,09_CWHITT,51_CWHITT,11_CNRALT,13_CNRALT,14_CNRALT,23_CNRALT,24_CNRALT,26_CNRALT,31_CNRALT,42_CNRALT,43_CNRALT,44_CNRALT,45_CNRALT,50_CNRALT,52_CNRALT,99_CNRALT,09_CNRALT,51_CNRALT,11_BLACKHISRACES,13_BLACKHISRACES,14_BLACKHISRACES,23_BLACKHISRACES,24_BLACKHISRACES,26_BLACKHISRACES,31_BLACKHISRACES,42_BLACKHISRACES,43_BLACKHISRACES,44_BLACKHISRACES,45_BLACKHISRACES,50_BLACKHISRACES,52_BLACKHISRACES,99_BLACKHISRACES,09_BLACKHISRACES,51_BLACKHISRACES,11_OTHERRACES,13_OTHERRACES,14_OTHERRACES,23_OTHERRACES,24_OTHERRACES,26_OTHERRACES,31_OTHERRACES,42_OTHERRACES,43_OTHERRACES,44_OTHERRACES,45_OTHERRACES,50_OTHERRACES,52_OTHERRACES,99_OTHERRACES,09_OTHERRACES,51_OTHERRACES
102632,NA,23,NA,4,0,17,0,NA,NA,NA,10,NA,35,103,NA,NA,NA,3,NA,1,0,4,0,NA,NA,NA,3,NA,10,24,NA,NA,NA,3,NA,1,0,0,0,NA,NA,NA,1,NA,3,8,NA,NA,NA,11,NA,3,0,12,0,NA,NA,NA,3,NA,19,61,NA,NA,NA,0,NA,0,0,0,0,NA,NA,NA,0,NA,0,0,NA,NA,NA,1,NA,0,0,3,0,NA,NA,NA,3,NA,3,10,NA,NA,NA,3,NA,0,0,0,0,NA,NA,NA,2,NA,4,9,NA,NA
102845,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,54,NA,35,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,12,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,NA,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,33,NA,23,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,NA,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,7,NA,2
104151,1007,667,1340,143,73,1191,298,906,277,264,741,761,3326,14745,674,1100,826,129,1052,47,52,422,151,207,103,64,376,275,1940,7139,281,226,229,13,146,3,2,168,13,46,12,5,40,49,264,1270,28,118,333,342,615,89,41,548,135,460,105,99,363,378,1667,6974,376,473,192,12,138,2,1,52,5,19,5,6,58,30,392,1019,14,6,179,251,331,37,24,321,117,319,143,127,211,234,734,4273,203,418,29,28,50,8,2,44,12,23,5,15,30,32,107,504,14,34
104179,414,270,513,83,59,765,NA,599,136,36,368,311,1159,7563,277,657,307,41,372,26,21,255,NA,106,55,14,197,104,627,3203,99,109,45,7,32,4,2,97,NA,23,5,1,21,10,48,408,6,38,156,117,235,46,30,374,NA,290,57,18,170,164,680,3812,173,342,77,2,70,4,1,17,NA,13,3,0,50,12,63,438,5,7,106,119,132,24,24,209,NA,226,62,14,104,100,293,2293,68,225,7,10,10,2,0,21,NA,9,4,1,8,4,37,224,12,14
104425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104586,45,NA,229,NA,NA,8,NA,16,18,NA,50,NA,31,651,NA,NA,29,NA,172,NA,NA,2,NA,0,5,NA,26,NA,25,449,NA,NA,8,NA,14,NA,NA,1,NA,0,0,NA,2,NA,3,45,NA,NA,23,NA,142,NA,NA,6,NA,8,16,NA,28,NA,18,375,NA,NA,1,NA,12,NA,NA,0,NA,0,0,NA,6,NA,5,72,NA,NA,11,NA,39,NA,NA,1,NA,8,2,NA,9,NA,2,101,NA,NA,0,NA,8,NA,NA,0,NA,0,0,NA,1,NA,1,19,NA,NA
104708,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
104717,433,1623,118,86,NA,291,258,NA,524,1991,133,321,3133,14748,307,4996,371,130,94,16,NA,96,162,NA,279,300,57,126,1461,4210,87,748,20,14,2,2,NA,17,5,NA,4,36,2,14,77,628,3,424,214,1062,70,55,NA,152,156,NA,258,957,67,185,1740,7218,185,1779,10,1,8,2,NA,10,3,NA,4,16,5,3,51,152,2,34,149,444,29,17,NA,90,69,NA,205,798,36,85,1010,5549,86,2387,16,61,3,3,NA,9,6,NA,26,86,8,11,115,590,12,221
105145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
